name,PLD,LCD,ASA,Density,VF
18130N3,8.31199,8.60374,1486.39,0.741461,0.6068
18131N3,3.81261,4.1723,393.539,1.11958,0.4114
18133N3,7.33278,9.33373,1776.51,0.601192,0.6848
18134N3,11.97962,12.64216,1554.06,0.58135,0.6942
18140N2,17.5668,18.06284,1326.79,0.425624,0.7776
18141N2,19.35941,19.67816,1166.2,0.49422,0.736
18142N3,28.36231,31.01001,1043.32,0.139365,0.9248
18143N3,31.0228,35.74932,858.165,0.109077,0.9404
18150N2,12.01614,12.45034,1316.51,0.880351,0.6366
18151N2,15.94596,16.14722,1218.99,0.755579,0.6658
18161N2,13.88005,15.08539,1273.17,0.717263,0.6706
19000N3,16.44139,19.29272,1302.64,0.207178,0.896
19003N3,9.22101,11.52735,1941.58,0.280825,0.8644
19010N2,10.53322,11.18108,1344.66,0.739465,0.62
19020N3,8.83606,11.48909,2126.12,0.322836,0.8448
19022N3,8.10351,9.98288,2395.41,0.367537,0.8304
19030N2,11.91278,12.48149,1177.38,0.990703,0.565
19041N2,23.24773,23.54429,1077.4,0.521034,0.7628
19050N2,31.49777,32.21428,938.383,0.381925,0.8206
19051N2,28.14934,28.45344,977.906,0.3959,0.8072
19060N2,14.87802,15.12574,1204.4,0.604869,0.6848
19061N2,15.93025,16.1939,1195.31,0.560088,0.7004
19070N2,27.06543,27.27431,1029.65,0.455449,0.7902
19080N2,14.00828,15.58128,1496.81,0.575762,0.728
19090N2,24.16371,24.48794,1019.98,0.485873,0.7796
19101N2,15.24391,15.51822,1167.96,0.784279,0.6644
19102N2,19.98784,20.3924,1099.29,0.600086,0.7212
19110N2,25.94421,26.15729,1031.59,0.418042,0.7798
19120N2,15.0597,15.5223,1341.71,0.585376,0.7304
19122N2,14.82861,15.26741,1362.76,0.642369,0.6936
19130N2,19.19279,19.56512,1116.33,0.575613,0.7146
19140N2,13.81761,14.07691,1428.11,0.785279,0.6614
19142N2,20.0517,20.26849,1051.77,0.667606,0.7086
19144N2,10.66069,11.46035,1260.82,1.00342,0.5838
19150N2,3.69866,4.43946,568.133,1.38933,0.4064
19170N2,20.24598,21.06324,1244.5,0.583714,0.6982
19180N2,27.00362,27.19606,1013.49,0.398703,0.8136
19181N2,22.72211,23.06077,1138.67,0.471181,0.7788
19182N2,31.84749,32.36866,906.875,0.360794,0.8324
19190N2,9.65292,11.85478,1407.05,0.734271,0.6368
19191N2,5.68833,6.04344,1139.79,0.862786,0.5408
19200N2,7.79301,8.62342,2000.94,0.585175,0.686
19210N2,27.91513,28.07793,996.221,0.404815,0.7868
19212N2,25.4737,25.8615,1052.01,0.417379,0.783
19214N2,24.35244,24.66259,1079.59,0.458002,0.7816
19220N2,32.41145,33.06267,880.118,0.343161,0.8274
19230N2,18.15727,18.36599,1148.83,0.511933,0.7394
19240N3,5.2812,5.56843,569.81,0.888677,0.5284
19241N3,4.51313,4.91247,573.201,0.961818,0.4892
19242N3,5.23734,5.65804,607.296,0.940009,0.5198
19250N3,2.68214,4.04335,0,1.0597,0.4652
19251N3,1.71617,3.77734,0,1.33281,0.3968
19252N3,2.77494,4.12833,0,1.02884,0.4822
19253N3,3.04787,3.94484,0,1.25116,0.43
19260N2,9.33741,10.1699,1262.17,0.840886,0.5684
19270N2,14.6828,15.11833,1323.99,0.667973,0.6862
19280N2,23.83599,24.15034,1311.36,0.564953,0.6954
19281N2,25.84911,26.1718,1182.03,0.550067,0.7164
19282N2,29.40064,29.64785,1116.34,0.542251,0.7386
19283N2,27.38591,27.62491,1195.12,0.568196,0.733
19290N2,17.92898,18.12744,1432.79,0.602858,0.6824
19291N2,7.77666,8.24295,1555.61,0.710445,0.6306
19292N2,16.12563,16.80212,1340.71,0.664142,0.6472
19310N2,16.37804,17.30225,1236.99,0.537824,0.7142
19311N2,16.45521,17.14001,1243.22,0.555858,0.716
19330N2,31.02221,31.22738,1069.07,0.51396,0.7444
19340N2,13.68428,13.86033,1382.66,0.601994,0.6888
19341N2,10.45233,11.11296,1392.42,0.718609,0.622
19350N2,10.95393,11.47035,1281.51,0.782235,0.5978
19351N2,22.6567,23.07061,1084.31,0.59269,0.6946
19352N2,24.12228,24.35034,1219.08,0.573437,0.7
19353N2,12.83904,13.2107,1323.18,0.660811,0.655
19360N2,28.43869,29.05122,975.006,0.376184,0.8074
19361N2,31.74327,32.06594,908.832,0.375704,0.8182
19362N2,34.54894,34.69931,860.8,0.354099,0.8276
19363N2,29.99025,30.2392,948.334,0.406583,0.8028
19364N2,26.5749,26.90255,1055.53,0.444202,0.7848
19365N2,26.33635,27.10766,1082.75,0.440527,0.7832
19366N2,32.72044,32.89072,882.941,0.363404,0.8172
19370N2,9.882,10.41104,1368.84,0.736052,0.6136
19380N2,17.90942,18.38658,1153.06,0.597476,0.6992
19390N2,13.04719,13.65159,1309.18,0.702818,0.6592
19401N3,7.81346,11.39389,2313.92,0.310713,0.8404
19410N2,31.43041,31.70594,1050.61,0.500051,0.7456
19411N2,33.15813,33.39228,1044.54,0.48924,0.7506
19412N2,35.85063,36.23385,1001.52,0.488852,0.7544
19413N2,29.04685,29.52403,943.151,0.410151,0.8126
19420N3,18.87165,20.37546,1418,0.229766,0.878
19421N3,25.6244,28.35191,1031.61,0.151002,0.9178
19430N2,18.04379,18.22778,1204.99,0.561339,0.7092
19440N2,4.59431,5.74091,742.474,1.07122,0.4796
19441N2,4.66005,5.79003,748.008,1.06779,0.4852
19450N2,31.96461,32.55539,955.039,0.283472,0.8464
19451N2,33.40283,33.61063,880.354,0.35895,0.8038
19452N2,26.53373,27.09641,970.876,0.388654,0.7842
19453N2,33.34342,33.50589,863.479,0.338466,0.811
19454N2,28.36373,28.88334,966.285,0.367616,0.7954
19455N2,33.55346,33.89639,904.93,0.240895,0.8596
19456N2,31.20029,31.46174,897.885,0.355463,0.8044
19460N2,13.17854,13.59732,1294.36,0.694681,0.6602
19462N2,14.87502,15.66737,1277.15,0.650611,0.6864
19464N2,16.81772,17.15414,1254.28,0.554784,0.7164
19466N2,22.1458,22.65351,1076.67,0.510766,0.7442
19470N2,23.80375,24.29879,1224.12,0.499289,0.7452
19480N2,22.1499,22.64238,1259.49,0.465942,0.7418
19481N2,17.02225,17.60004,1453.7,0.63388,0.6764
19482N2,15.1767,15.53536,1510.42,0.638391,0.6678
19483N2,9.33318,10.45603,961.742,0.721321,0.6154
19490N2,9.49622,10.16022,1362.6,0.776504,0.5998
19491N2,12.37894,13.65495,1429.69,0.601732,0.6828
19500N2,29.94364,30.48528,956.286,0.396969,0.811
19510N2,32.11243,32.45322,887.837,0.34838,0.8298
19511N2,20.30433,20.59621,1151.41,0.500061,0.7452
19520N2,18.89046,19.40621,1143.59,0.486953,0.7482
19521N2,15.96228,16.487,1256.84,0.516154,0.7254
19522N2,12.97747,13.39591,1311.69,0.580412,0.6956
19530N2,27.00963,27.27525,1020,0.37617,0.7988
19531N2,32.00589,32.19264,923.621,0.350349,0.8084
19540N2,21.63807,22.04201,1115.59,0.656409,0.6682
19541N2,30.09488,30.41767,1069.89,0.519823,0.7428
19542N2,26.04035,26.56071,1127.59,0.652315,0.7056
19550N2,19.01517,19.36683,1099.71,0.57372,0.7034
19560N2,21.72748,22.11926,1258.58,0.474077,0.7382
19570N2,16.9312,17.23409,1189.06,0.579918,0.7006
19571N2,18.45697,18.67652,1170.53,0.553146,0.7112
19572N2,15.11119,15.39085,1304.91,0.614819,0.6872
19573N2,16.23775,16.39396,1316.95,0.608142,0.6862
20000N2,18.77204,19.88166,1344.05,0.49309,0.7496
20010N2,36.4553,36.79133,1132.93,0.393261,0.8082
20021N2,18.01276,18.27022,1181.04,0.607219,0.711
20030N2,17.13054,17.62238,988.272,0.760825,0.6178
20031N2,14.20492,14.70566,1114.35,0.798037,0.599
20040N2,17.47506,17.94054,1410.29,0.464398,0.7678
20050N2,26.65274,27.10282,997.663,0.436575,0.7954
20051N2,26.59966,26.90278,1008.01,0.462854,0.7896
20052N2,26.43258,26.99311,1004.04,0.46593,0.7854
20070N2,26.59765,26.75687,1062.01,0.38141,0.8082
20080N2,21.0119,21.4722,1069.83,0.598471,0.7132
20090N2,15.36517,15.68723,1303.59,0.631722,0.6744
20091N2,14.5833,15.03616,1268.92,0.684052,0.6594
20110N3,23.30385,28.33414,840.476,0.102727,0.9496
20113N3,21.36217,27.08752,917.077,0.111027,0.943
20116N3,20.88499,26.76207,957.779,0.118021,0.9378
20120N2,6.59214,8.16711,1300.85,0.847623,0.5538
20121N3,9.26631,9.45899,1250.07,0.939067,0.5082
20130N2,23.69418,23.99907,1076.32,0.565603,0.7734
20140N2,8.90453,9.35808,1320.71,0.819057,0.5912
20141N2,9.06032,9.77874,1282.36,0.81013,0.5814
20142N2,9.45147,9.97004,1388.39,0.772312,0.5982
20150N2,20.22853,20.51606,1340.65,0.570294,0.708
20151N2,17.82287,18.08436,1323.77,0.612017,0.7012
20152N2,20.00602,20.25626,1344.16,0.591504,0.7052
20153N2,17.12058,17.66792,1320.43,0.656863,0.6848
20160N2,25.07304,25.55166,1071.22,0.524385,0.7434
20161N2,23.10256,23.41955,1041.04,0.631882,0.677
20162N2,23.14027,23.38856,1021.74,0.631381,0.6778
20164N2,22.01268,23.22818,1110.66,0.498963,0.748
20165N2,23.02618,23.25653,1093.32,0.438053,0.779
20166N2,23.26877,24.05069,1086.61,0.507323,0.7478
20167N2,22.99116,23.28895,1032.48,0.569353,0.7088
20168N2,22.95345,23.17673,1048.87,0.639122,0.677
20169N2,22.96511,23.22902,1038.38,0.572732,0.714
2016aN2,20.77157,21.46285,1109.96,0.51835,0.7376
2016bN2,27.9177,28.17859,989.193,0.401406,0.7956
20170N2,15.7228,16.28767,1288.05,0.617743,0.7002
20172N2,9.54835,10.51587,1333.68,0.775313,0.6258
20180N2,18.37475,18.8685,1175.26,0.558898,0.7248
20181N2,18.21624,18.58453,1183.52,0.583157,0.7228
20182N2,18.90684,19.43765,1165.8,0.54192,0.7212
20190N2,23.794,24.0517,1064.95,0.423158,0.7884
