,name,PLD,LCD,ASA,Density,VF,site,ratio,T,DC
109,12023N2,24.14477,24.58257,966.264,0.576825,0.748,0.0,0.0,231,1.2257189611607144
110,12023N2,24.14477,24.58257,966.264,0.576825,0.748,0.0,0.0,296,0.8922158598214287
111,12024N2,27.59758,28.05485,985.206,0.463061,0.7864,0.0,0.0,111,4.048713568214286
112,12024N2,27.59758,28.05485,985.206,0.463061,0.7864,0.0,0.0,231,1.5458785243750002
113,12024N2,27.59758,28.05485,985.206,0.463061,0.7864,0.0,0.0,296,1.1239114285714287
114,12030N2,16.43413,16.84676,1213.59,0.721957,0.6856,0.0,0.0,111,2.565897107946429
115,12030N2,16.43413,16.84676,1213.59,0.721957,0.6856,0.0,0.0,231,1.1010891686607143
116,12030N2,16.43413,16.84676,1213.59,0.721957,0.6856,0.0,0.0,296,0.7556466716071428
117,12040N2,18.88103,19.14047,1119.29,0.643516,0.6834,0.0,0.0,111,2.810534295535714
118,12040N2,18.88103,19.14047,1119.29,0.643516,0.6834,0.0,0.0,231,1.0817666225892857
119,12040N2,18.88103,19.14047,1119.29,0.643516,0.6834,0.0,0.0,296,0.7418796025
120,12050N2,9.25945,9.46302,1229.41,0.832544,0.5424,0.0,0.0,111,1.5764317640178573
121,12050N2,9.25945,9.46302,1229.41,0.832544,0.5424,0.0,0.0,231,0.7817206656250001
122,12050N2,9.25945,9.46302,1229.41,0.832544,0.5424,0.0,0.0,296,0.5107541954464286
123,12060N2,14.35044,14.61678,1196.22,0.818509,0.6456,0.0,0.0,111,2.1441571635714287
124,12060N2,14.35044,14.61678,1196.22,0.818509,0.6456,0.0,0.0,231,0.8173524092857143
125,12060N2,14.35044,14.61678,1196.22,0.818509,0.6456,0.0,0.0,296,0.5667524549107144
126,12061N2,14.27275,14.54875,1199.58,0.819318,0.6452,0.0,0.0,111,2.148394147142857
127,12061N2,14.27275,14.54875,1199.58,0.819318,0.6452,0.0,0.0,231,0.8214352449999999
128,12061N2,14.27275,14.54875,1199.58,0.819318,0.6452,0.0,0.0,296,0.5636138340178571
129,12062N2,13.87891,14.29827,1202.09,0.839477,0.6314,0.0,0.0,111,2.0728137157142856
130,12062N2,13.87891,14.29827,1202.09,0.839477,0.6314,0.0,0.0,231,0.8077024477678572
131,12062N2,13.87891,14.29827,1202.09,0.839477,0.6314,0.0,0.0,296,0.5476266566964286
132,13000N2,5.90362,6.37954,819.815,1.58059,0.4226,0.0,0.0,111,0.4771969071428571
133,13000N2,5.90362,6.37954,819.815,1.58059,0.4226,0.0,0.0,231,0.29617877642857143
134,13000N2,5.90362,6.37954,819.815,1.58059,0.4226,0.0,0.0,296,0.19160025142857146
135,13010N2,26.21819,26.46291,891.25,0.579132,0.7198,0.0,0.0,111,2.974081845803572
136,13010N2,26.21819,26.46291,891.25,0.579132,0.7198,0.0,0.0,231,1.13536833
137,13010N2,26.21819,26.46291,891.25,0.579132,0.7198,0.0,0.0,296,0.819839782857143
138,13011N2,30.87029,31.02732,820.62,0.506384,0.7606,0.0,0.0,111,3.387475532232143
139,13011N2,30.87029,31.02732,820.62,0.506384,0.7606,0.0,0.0,231,1.3467739530357143
140,13011N2,30.87029,31.02732,820.62,0.506384,0.7606,0.0,0.0,296,0.9721271592857145
141,13012N2,32.33396,32.66085,813.849,0.470374,0.7724,0.0,0.0,111,3.7762144217857148
142,13012N2,32.33396,32.66085,813.849,0.470374,0.7724,0.0,0.0,231,1.4947659346428572
143,13012N2,32.33396,32.66085,813.849,0.470374,0.7724,0.0,0.0,296,1.088299209732143
144,13020N2,26.63581,27.27431,1160.66,0.274002,0.863,0.0,0.0,111,8.41435094375
145,13020N2,26.63581,27.27431,1160.66,0.274002,0.863,0.0,0.0,231,3.3445449248214287
146,13020N2,26.63581,27.27431,1160.66,0.274002,0.863,0.0,0.0,296,2.3773184973214287
147,13040N3,5.66415,6.16039,877.867,1.01261,0.4652,0.0,0.0,111,0.7452505965178572
148,13040N3,5.66415,6.16039,877.867,1.01261,0.4652,0.0,0.0,231,0.3800340457142858
149,13040N3,5.66415,6.16039,877.867,1.01261,0.4652,0.0,0.0,296,0.2409275411607143
150,13050N2,18.20232,18.42693,1149.03,0.644587,0.701,0.0,0.0,111,2.826438201339286
151,13050N2,18.20232,18.42693,1149.03,0.644587,0.701,0.0,0.0,231,1.1320426558928574
152,13050N2,18.20232,18.42693,1149.03,0.644587,0.701,0.0,0.0,296,0.784296460357143
153,13060N2,9.71447,11.54845,1487.08,0.669197,0.6466,0.0,0.0,111,2.691300935714286
154,13060N2,9.71447,11.54845,1487.08,0.669197,0.6466,0.0,0.0,231,1.1461588323214287
155,13060N2,9.71447,11.54845,1487.08,0.669197,0.6466,0.0,0.0,296,0.7491525096428573
156,13070N2,17.15702,17.38774,1165.38,0.705914,0.6824,0.0,0.0,111,2.508643545714286
157,13070N2,17.15702,17.38774,1165.38,0.705914,0.6824,0.0,0.0,231,0.9786026407142857
158,13070N2,17.15702,17.38774,1165.38,0.705914,0.6824,0.0,0.0,296,0.6782925170535715
